time,current_a,current_b,y,pres_line,temp,reciprocating_speed,well,freq,current,pres_head,pres_intake,temp_engine,load_engine
2021-10-09 00:00:00,,,,0.803347712358313,,,679.0,,,0.8718696254641726,,,
2021-10-09 01:00:00,,,,0.7938483777706394,,,679.0,,,0.8843251527556516,,,
2021-10-09 02:00:00,,,104.770668029785,0.7786597677940433,,,679.0,,,0.8482756832592483,,,
2021-10-09 03:00:00,,,,0.7407484741407007,,,679.0,,,0.8131077456694026,,,
2021-10-09 04:00:00,,,,0.7463287595796432,,,679.0,,,0.8233680856641594,,,
2021-10-09 05:00:00,,,,0.7940652104079667,,,679.0,,,0.856085018854988,,,
2021-10-09 06:00:00,,,,0.7889782479005095,,,679.0,,,0.8505227253740028,,,
2021-10-09 07:00:00,,,107.341415405273,0.7794812078380982,,,679.0,,,0.8504950694710519,,,
2021-10-09 08:00:00,,,,0.7452618053324765,,,679.0,,,0.82418047781334,,,
2021-10-09 09:00:00,,,,0.7415314808866047,,,679.0,,,0.809816693218254,,,
2021-10-09 10:00:00,,,,0.7867927125877655,,,679.0,,,0.8553797933297419,,,
2021-10-09 11:00:00,,,,0.7878734339865081,,,679.0,,,0.8670955252172862,,,
2021-10-09 12:00:00,,,104.742057800293,0.7972041209673718,,,679.0,,,0.8605307052543336,,,
2021-10-09 13:00:00,,,,0.7458560873755222,,,679.0,,,0.8185525015628468,,,
2021-10-09 14:00:00,,,,0.7566598595750539,,,679.0,,,0.8289511210723575,,,
2021-10-09 15:00:00,,,,0.812206874397687,,,679.0,,,0.8944644981749985,,,
2021-10-09 16:00:00,,,,0.8250826029094581,,,679.0,,,0.8876334901461443,,,
2021-10-09 17:00:00,,,106.158706665039,0.7965708319948602,,,679.0,,,0.8769686825707312,,,
2021-10-09 18:00:00,,,,0.7498107016658256,,,679.0,,,0.8226766880903889,,,
2021-10-09 19:00:00,,,,0.7702618053324766,,,679.0,,,0.8424126318336725,,,
2021-10-09 20:00:00,,,,0.8267690789775595,,,679.0,,,0.9017207157117217,,,
2021-10-09 21:00:00,,,,0.860512367491166,,,679.0,,,0.9350460787674686,,,
2021-10-09 22:00:00,,,106.26969909668,0.8514983249965582,,,679.0,,,0.9181414080887755,,,
2021-10-09 23:00:00,,,,0.8458400256986828,,,679.0,,,0.9176228599084475,,,
2021-10-10 00:00:00,,,,0.888101739250149,,,679.0,,,0.9558225758592777,,,
2021-10-10 01:00:00,,,,0.9258753613877289,,,679.0,,,0.9949383935953524,,,
2021-10-10 02:00:00,,,,0.9002856683952091,,,679.0,,,0.968596146034691,,,
2021-10-10 03:00:00,,,,0.8818342434950208,,,679.0,,,0.9498558147976366,,,
2021-10-10 04:00:00,,,105.751953125,0.8004566105272818,,,679.0,,,0.870728819467451,,,
2021-10-10 05:00:00,,,,0.7761403790555732,,,679.0,,,0.8461634636713787,,,
2021-10-10 06:00:00,,,,0.8068067091918685,,,679.0,,,0.8816356161936835,,,
2021-10-10 07:00:00,,,,0.8098699004176035,,,679.0,,,0.8879307911028655,,,
