time,current_a,current_b,y,pres_line,temp,reciprocating_speed,freq,current,pres_head,pres_intake,temp_engine,load_engine
2021-04-03 12:00:00,,,,0.8257308062961773,399.0,,49.5,29.957142857142856,0.728577738515901,3.1,51.871428571428574,
2021-04-03 13:00:00,,,,0.8267748152907162,399.0,,49.5,29.939999999999998,0.730444908448442,3.1,51.82000000000001,
2021-04-03 14:00:00,,,,0.8268015847521147,399.0,,49.5,29.928571428571427,0.7293406681657563,3.1,51.800000000000004,
2021-04-03 15:00:00,,,,0.8260520398329585,399.0,,49.5,29.96,0.7290194346289751,3.1,51.96,
2021-04-03 16:00:00,,,,0.8248607988007283,399.0,,49.5,29.957142857142856,0.7290997430131707,3.1,51.9,
2021-04-03 17:00:00,,,,0.8265472748688296,399.0,,49.5,29.9,0.7310472213299066,3.1,51.92,
2021-04-03 18:00:00,,,,0.8315799336117359,399.0,,49.5,29.91428571428571,0.7354039511725025,3.1,51.92857142857143,
2021-04-03 19:00:00,,,,0.8335341042938217,399.0,,49.5,29.9,0.7378734339865082,3.1,51.92,
2021-04-03 20:00:00,,,,0.8336411821394155,399.0,,49.5,29.942857142857143,0.7382950530035335,3.1,51.971428571428575,
2021-04-03 21:00:00,,,,0.8299737659278298,399.0,,49.5,29.919999999999998,0.7342194025056217,3.1,51.92,
2021-04-03 22:00:00,,,,0.8290234500481851,399.0,,49.5,29.885714285714283,0.7330750080308386,3.1,51.9,
2021-04-03 23:00:00,,,,0.8299469964664311,399.0,,49.5,29.919999999999998,0.7348016382910374,3.1,51.96,
2021-04-04 00:00:00,,,,0.8277519006317595,399.0,,49.5,29.91428571428571,0.7326734661098618,3.1,51.971428571428575,
2021-04-04 01:00:00,,,,0.8296659171217474,399.0,,49.5,29.9,0.7393390619980726,3.1,51.86,
2021-04-04 02:00:00,,,,0.8615215761858871,399.0,,49.5,29.942857142857143,0.7493575329264374,3.1,51.92857142857143,
2021-04-04 03:00:00,,,,0.8626726630260202,399.0,,49.5,29.919999999999998,0.7532324124638613,3.1,51.9,
2021-04-04 04:00:00,,,198.066696166992,0.863341899560981,399.0,,49.5,29.928571428571427,0.7618655637648569,3.1,51.957142857142856,
2021-04-04 05:00:00,,,,0.8234152478852123,399.0,,49.5,29.939999999999998,0.7258271763572117,3.1,51.92,
2021-04-04 06:00:00,,,,0.826868508405611,399.0,,49.5,29.942857142857143,0.7297622871827819,3.1,51.84285714285714,
2021-04-04 07:00:00,,,,0.8308705428846773,399.0,,49.5,29.9,0.7346008673305494,3.1,51.96,
2021-04-04 08:00:00,,,,0.8272566655958881,399.0,,49.5,29.885714285714283,0.7305051397365885,3.1,51.800000000000004,
